action_from,action_to,count
noticing,emotion_responding,401
noticing,cognition_awareness,277
noticing,emotion_perception,172
response_modulation,questioning,369
response_modulation,emotion_responding,240
response_modulation,reframing,645
response_modulation,noticing,1077
response_modulation,self_questioning,823
response_modulation,cognition_awareness,159
response_modulation,emotion_perception,113
self_questioning,emotion_responding,298
self_questioning,reframing,735
self_questioning,cognition_awareness,200
self_questioning,emotion_perception,153
questioning,emotion_responding,157
questioning,reframing,401
questioning,cognition_awareness,113
questioning,emotion_perception,77
counterfactual_reasoning,questioning,168
counterfactual_reasoning,emotion_responding,98
counterfactual_reasoning,reframing,204
counterfactual_reasoning,noticing,372
counterfactual_reasoning,self_questioning,284
counterfactual_reasoning,cognition_awareness,70
counterfactual_reasoning,emotion_perception,41
questioning,divergent_thinking,187
emotion_responding,divergent_thinking,115
emotion_responding,noticing,425
emotion_responding,reframing,247
emotion_responding,self_questioning,313
emotion_responding,counterfactual_reasoning,92
reframing,divergent_thinking,280
noticing,divergent_thinking,477
self_questioning,divergent_thinking,334
cognition_awareness,divergent_thinking,90
cognition_awareness,counterfactual_reasoning,56
emotion_perception,divergent_thinking,48
emotion_perception,counterfactual_reasoning,35
divergent_thinking,noticing,485
divergent_thinking,distinguishing,134
divergent_thinking,remembering,52
divergent_thinking,pattern_recognition,73
divergent_thinking,analyzing,83
noticing,distinguishing,452
noticing,remembering,249
reframing,distinguishing,225
self_questioning,distinguishing,276
self_questioning,remembering,155
counterfactual_reasoning,distinguishing,96
counterfactual_reasoning,remembering,45
counterfactual_reasoning,pattern_recognition,67
counterfactual_reasoning,analyzing,76
remembering,self_questioning,172
remembering,reframing,116
remembering,questioning,98
pattern_recognition,noticing,285
pattern_recognition,evaluating,116
pattern_recognition,self_questioning,202
pattern_recognition,reframing,152
pattern_recognition,questioning,113
noticing,hypothesis_generation,405
evaluating,cognition_awareness,106
evaluating,hypothesis_generation,141
self_questioning,hypothesis_generation,251
reframing,hypothesis_generation,158
questioning,hypothesis_generation,198
questioning,reconsidering,153
cognition_awareness,reconsidering,51
hypothesis_generation,situation_selection,28
hypothesis_generation,reconsidering,69
situation_selection,self_questioning,91
situation_selection,metacognitive_monitoring,19
situation_selection,response_modulation,79
reconsidering,self_questioning,173
reconsidering,metacognitive_monitoring,28
reconsidering,response_modulation,174
self_questioning,metacognitive_monitoring,99
metacognitive_monitoring,distinguishing,31
metacognitive_monitoring,metacognitive_monitoring,27
metacognitive_monitoring,remembering,20
metacognitive_monitoring,emotion_perception,16
metacognitive_monitoring,self_questioning,107
response_modulation,distinguishing,241
response_modulation,metacognitive_monitoring,105
response_modulation,remembering,131
distinguishing,metacognitive_monitoring,42
distinguishing,emotion_perception,46
metacognitive_monitoring,noticing,131
metacognitive_monitoring,evaluating,90
remembering,metacognitive_monitoring,19
remembering,emotion_perception,37
emotion_perception,metacognitive_monitoring,24
emotion_perception,emotion_perception,39
self_questioning,evaluating,468
evaluating,distinguishing,143
metacognitive_monitoring,reframing,81
emotion_perception,distinguishing,39
self_questioning,reconsidering,174
distinguishing,hypothesis_generation,87
distinguishing,reconsidering,58
noticing,reconsidering,249
reframing,reconsidering,114
hypothesis_generation,self_questioning,269
hypothesis_generation,hypothesis_generation,133
hypothesis_generation,evaluating,149
reconsidering,hypothesis_generation,59
reconsidering,evaluating,102
self_questioning,emotion_valuing,126
self_questioning,understanding,379
hypothesis_generation,questioning,203
hypothesis_generation,emotion_valuing,47
hypothesis_generation,understanding,115
hypothesis_generation,reframing,191
evaluating,emotion_valuing,90
evaluating,understanding,197
evaluating,reconsidering,104
questioning,evaluating,313
questioning,understanding,209
emotion_valuing,evaluating,81
emotion_valuing,reframing,79
emotion_valuing,understanding,63
emotion_valuing,response_modulation,80
emotion_valuing,counterfactual_reasoning,37
emotion_valuing,reconsidering,42
emotion_valuing,self_questioning,115
hypothesis_generation,response_modulation,221
hypothesis_generation,counterfactual_reasoning,103
understanding,evaluating,194
understanding,reframing,297
understanding,understanding,197
understanding,response_modulation,307
understanding,counterfactual_reasoning,127
understanding,reconsidering,79
understanding,self_questioning,396
reconsidering,reframing,136
reconsidering,understanding,78
reconsidering,counterfactual_reasoning,83
reconsidering,reconsidering,48
reframing,evaluating,367
reframing,understanding,250
understanding,pattern_recognition,78
understanding,analyzing,114
understanding,noticing,535
understanding,distinguishing,100
reconsidering,pattern_recognition,40
reconsidering,analyzing,59
reconsidering,noticing,255
reconsidering,distinguishing,77
pattern_recognition,emotion_perception,27
pattern_recognition,hypothesis_generation,62
pattern_recognition,remembering,45
pattern_recognition,emotion_responding,72
analyzing,emotion_perception,48
analyzing,hypothesis_generation,76
analyzing,remembering,60
analyzing,emotion_responding,74
distinguishing,remembering,55
distinguishing,emotion_responding,91
noticing,concretizing,51
noticing,convergent_thinking,447
emotion_perception,concretizing,11
emotion_perception,convergent_thinking,60
hypothesis_generation,divergent_thinking,133
hypothesis_generation,concretizing,26
hypothesis_generation,convergent_thinking,134
remembering,divergent_thinking,44
remembering,concretizing,6
remembering,convergent_thinking,59
emotion_responding,questioning,158
emotion_responding,concretizing,14
emotion_responding,convergent_thinking,124
divergent_thinking,convergent_thinking,156
divergent_thinking,reconsidering,96
divergent_thinking,response_modulation,296
divergent_thinking,evaluating,181
questioning,convergent_thinking,189
self_questioning,convergent_thinking,359
concretizing,convergent_thinking,21
concretizing,reconsidering,12
concretizing,response_modulation,39
concretizing,evaluating,21
convergent_thinking,convergent_thinking,221
convergent_thinking,reconsidering,87
convergent_thinking,response_modulation,341
convergent_thinking,evaluating,228
convergent_thinking,emotion_perception,51
convergent_thinking,metacognitive_monitoring,40
reconsidering,emotion_perception,47
response_modulation,evaluating,433
response_modulation,response_modulation,753
evaluating,emotion_perception,94
evaluating,metacognitive_monitoring,82
evaluating,analogical_thinking,229
emotion_perception,abstracting,33
emotion_perception,emotion_valuing,24
emotion_perception,analogical_thinking,81
emotion_perception,emotion_understanding,60
metacognitive_monitoring,abstracting,26
metacognitive_monitoring,emotion_valuing,19
metacognitive_monitoring,analogical_thinking,66
metacognitive_monitoring,emotion_understanding,42
response_modulation,abstracting,218
response_modulation,emotion_valuing,70
response_modulation,analogical_thinking,390
response_modulation,emotion_understanding,382
abstracting,emotion_valuing,54
abstracting,analogical_thinking,172
abstracting,abstracting,125
emotion_valuing,questioning,79
emotion_valuing,emotion_valuing,52
emotion_valuing,analogical_thinking,68
emotion_valuing,abstracting,36
analogical_thinking,emotion_valuing,69
analogical_thinking,analogical_thinking,349
analogical_thinking,abstracting,157
self_questioning,analogical_thinking,491
self_questioning,abstracting,284
emotion_understanding,emotion_valuing,61
emotion_understanding,analogical_thinking,218
emotion_understanding,abstracting,150
metacognitive_monitoring,questioning,54
reframing,emotion_valuing,92
reframing,analogical_thinking,346
reframing,abstracting,233
questioning,analogical_thinking,279
analogical_thinking,response_modulation,394
analogical_thinking,reconsidering,90
analogical_thinking,understanding,208
abstracting,response_modulation,202
abstracting,reconsidering,85
abstracting,understanding,134
analogical_thinking,creating,10
analogical_thinking,convergent_thinking,177
analogical_thinking,distinguishing,186
response_modulation,creating,22
response_modulation,convergent_thinking,321
self_questioning,creating,24
reconsidering,creating,8
reconsidering,convergent_thinking,87
understanding,creating,13
understanding,convergent_thinking,142
creating,reframing,21
convergent_thinking,reframing,296
reframing,situation_modification,14
situation_modification,creating,2
situation_modification,response_modulation,22
situation_modification,emotion_management,4
situation_modification,divergent_thinking,8
situation_modification,emotion_characterizing,1
situation_modification,emotional_reappraisal,3
situation_modification,hypothesis_generation,10
situation_modification,emotion_facilitation,3
situation_modification,situation_modification,1
situation_modification,situation_selection,4
reframing,creating,22
reframing,emotion_characterizing,52
reframing,emotional_reappraisal,96
reframing,emotion_facilitation,18
response_modulation,emotion_management,37
response_modulation,divergent_thinking,277
response_modulation,emotion_characterizing,51
response_modulation,emotional_reappraisal,99
response_modulation,hypothesis_generation,211
response_modulation,emotion_facilitation,28
response_modulation,situation_modification,17
counterfactual_reasoning,creating,12
counterfactual_reasoning,response_modulation,243
counterfactual_reasoning,emotion_management,10
counterfactual_reasoning,divergent_thinking,112
counterfactual_reasoning,emotion_characterizing,16
counterfactual_reasoning,emotional_reappraisal,38
counterfactual_reasoning,hypothesis_generation,119
counterfactual_reasoning,emotion_facilitation,9
counterfactual_reasoning,situation_modification,7
counterfactual_reasoning,situation_selection,27
creating,self_questioning,23
divergent_thinking,self_questioning,369
emotion_characterizing,self_questioning,53
emotional_reappraisal,self_questioning,122
emotion_facilitation,self_questioning,25
situation_modification,self_questioning,17
hypothesis_generation,noticing,367
reframing,emotion_perception,118
cognition_awareness,response_modulation,185
pattern_recognition,response_modulation,173
emotion_perception,response_modulation,115
self_questioning,emotion_understanding,456
noticing,understanding,517
analyzing,understanding,82
analyzing,counterfactual_reasoning,67
understanding,remembering,61
remembering,emotion_understanding,67
emotion_understanding,divergent_thinking,162
emotion_understanding,response_modulation,349
emotion_understanding,analyzing,114
emotion_understanding,pattern_recognition,87
emotion_understanding,situation_selection,42
self_questioning,metacognitive_regulation,15
self_questioning,emotion_management,41
divergent_thinking,questioning,173
divergent_thinking,hypothesis_generation,115
divergent_thinking,reframing,291
divergent_thinking,understanding,136
metacognitive_regulation,hypothesis_generation,6
metacognitive_regulation,understanding,11
response_modulation,understanding,299
analyzing,response_modulation,192
pattern_recognition,understanding,86
situation_selection,questioning,49
situation_selection,noticing,112
situation_selection,hypothesis_generation,40
situation_selection,reframing,84
situation_selection,understanding,29
emotion_management,hypothesis_generation,15
emotion_management,understanding,15
questioning,distinguishing,147
questioning,abstracting,127
hypothesis_generation,emotion_perception,63
hypothesis_generation,distinguishing,91
hypothesis_generation,abstracting,80
understanding,emotion_perception,69
understanding,questioning,209
understanding,abstracting,123
analyzing,metacognitive_monitoring,35
analyzing,reconsidering,71
remembering,reconsidering,36
noticing,metacognitive_monitoring,131
cognition_awareness,metacognitive_monitoring,27
understanding,metacognitive_monitoring,47
analyzing,pattern_recognition,76
noticing,analogical_thinking,711
questioning,emotional_reappraisal,55
questioning,metacognitive_monitoring,56
pattern_recognition,distinguishing,74
pattern_recognition,emotional_reappraisal,27
pattern_recognition,analyzing,52
pattern_recognition,analogical_thinking,103
pattern_recognition,metacognitive_monitoring,28
reconsidering,emotional_reappraisal,16
reconsidering,analogical_thinking,84
emotional_reappraisal,hypothesis_generation,30
analogical_thinking,hypothesis_generation,122
metacognitive_monitoring,hypothesis_generation,36
hypothesis_generation,analyzing,81
analyzing,concretizing,26
analyzing,distinguishing,97
concretizing,questioning,24
concretizing,self_questioning,37
concretizing,distinguishing,12
concretizing,counterfactual_reasoning,15
distinguishing,distinguishing,146
distinguishing,counterfactual_reasoning,92
remembering,distinguishing,59
remembering,counterfactual_reasoning,45
questioning,applying,31
self_questioning,applying,43
distinguishing,applying,22
distinguishing,pattern_recognition,62
distinguishing,response_modulation,225
counterfactual_reasoning,applying,15
applying,distinguishing,27
applying,emotion_responding,18
pattern_recognition,cognition_awareness,40
cognition_awareness,emotion_responding,52
distinguishing,divergent_thinking,120
distinguishing,situation_selection,33
emotion_responding,emotion_responding,116
emotion_responding,situation_selection,21
emotion_responding,response_modulation,263
divergent_thinking,emotion_responding,110
emotion_responding,pattern_recognition,62
emotion_responding,reconsidering,61
reframing,emotion_responding,224
situation_selection,pattern_recognition,20
situation_selection,reconsidering,30
situation_selection,emotion_responding,29
response_modulation,reconsidering,162
pattern_recognition,abstracting,73
reconsidering,questioning,130
reconsidering,abstracting,62
emotion_responding,abstracting,86
abstracting,cognition_awareness,62
abstracting,counterfactual_reasoning,88
questioning,emotion_organizing,4
questioning,connecting,15
reconsidering,emotion_organizing,6
reconsidering,connecting,10
response_modulation,emotion_organizing,8
response_modulation,connecting,28
cognition_awareness,emotion_organizing,3
cognition_awareness,connecting,12
understanding,emotion_organizing,6
understanding,connecting,16
counterfactual_reasoning,emotion_organizing,6
counterfactual_reasoning,evaluating,173
counterfactual_reasoning,connecting,15
emotion_organizing,self_questioning,7
emotion_organizing,emotion_understanding,6
emotion_organizing,reframing,5
emotion_organizing,analogical_thinking,5
connecting,self_questioning,42
connecting,emotion_understanding,21
connecting,reframing,33
connecting,analogical_thinking,22
emotion_understanding,metacognitive_monitoring,53
emotion_understanding,convergent_thinking,181
reframing,metacognitive_monitoring,91
reframing,convergent_thinking,264
analogical_thinking,analyzing,130
analogical_thinking,metacognitive_monitoring,48
analogical_thinking,divergent_thinking,211
questioning,suspending_judgment,7
analyzing,cognition_awareness,49
analyzing,suspending_judgment,3
metacognitive_monitoring,cognition_awareness,25
metacognitive_monitoring,suspending_judgment,3
convergent_thinking,cognition_awareness,91
convergent_thinking,suspending_judgment,7
convergent_thinking,questioning,189
convergent_thinking,hypothesis_generation,133
divergent_thinking,cognition_awareness,59
divergent_thinking,suspending_judgment,3
cognition_awareness,analogical_thinking,102
suspending_judgment,analogical_thinking,5
suspending_judgment,divergent_thinking,5
evaluating,divergent_thinking,185
hypothesis_generation,analogical_thinking,156
analogical_thinking,counterfactual_reasoning,158
divergent_thinking,counterfactual_reasoning,116
counterfactual_reasoning,abstracting,81
counterfactual_reasoning,emotion_valuing,44
counterfactual_reasoning,concretizing,18
reconsidering,emotion_valuing,26
reconsidering,concretizing,13
reconsidering,situation_selection,27
reframing,concretizing,23
abstracting,accepting,4
abstracting,metacognitive_monitoring,33
abstracting,emotion_responding,91
abstracting,emotion_understanding,140
emotion_valuing,accepting,3
emotion_valuing,analyzing,40
emotion_valuing,applying,11
emotion_valuing,metacognitive_monitoring,18
emotion_valuing,pattern_recognition,18
emotion_valuing,emotion_responding,41
emotion_valuing,emotion_understanding,57
concretizing,accepting,1
concretizing,analyzing,14
concretizing,applying,8
concretizing,metacognitive_monitoring,8
concretizing,pattern_recognition,13
concretizing,emotion_responding,14
concretizing,emotion_understanding,18
situation_selection,accepting,2
situation_selection,analyzing,18
situation_selection,applying,12
situation_selection,emotion_understanding,32
accepting,distinguishing,2
accepting,noticing,26
accepting,emotion_understanding,12
applying,emotion_understanding,29
pattern_recognition,emotion_understanding,94
emotion_responding,distinguishing,84
emotion_responding,emotion_understanding,143
emotion_understanding,distinguishing,146
emotion_understanding,emotion_understanding,260
distinguishing,convergent_thinking,112
distinguishing,emotion_understanding,145
emotion_understanding,emotion_responding,124
emotion_understanding,hypothesis_generation,141
convergent_thinking,emotion_valuing,40
convergent_thinking,perspective_taking,75
convergent_thinking,emotion_understanding,204
pattern_recognition,emotion_valuing,26
pattern_recognition,perspective_taking,29
hypothesis_generation,perspective_taking,66
hypothesis_generation,emotion_understanding,137
emotion_valuing,noticing,140
perspective_taking,self_questioning,161
perspective_taking,noticing,203
perspective_taking,reframing,107
self_questioning,perspective_taking,140
noticing,perspective_taking,214
reframing,perspective_taking,124
analyzing,convergent_thinking,103
cognition_awareness,remembering,52
cognition_awareness,convergent_thinking,81
pattern_recognition,pattern_recognition,65
pattern_recognition,convergent_thinking,87
pattern_recognition,reconsidering,51
perspective_taking,pattern_recognition,39
perspective_taking,remembering,26
perspective_taking,convergent_thinking,74
perspective_taking,reconsidering,38
perspective_taking,evaluating,94
convergent_thinking,remembering,67
emotion_perception,pattern_recognition,25
emotion_perception,remembering,27
emotion_perception,reconsidering,46
remembering,response_modulation,130
remembering,perspective_taking,23
reconsidering,emotion_understanding,97
reconsidering,perspective_taking,45
evaluating,perspective_taking,88
emotion_understanding,emotion_perception,72
emotion_understanding,emotion_characterizing,38
emotion_perception,emotion_responding,48
emotion_perception,emotion_management,12
emotion_perception,emotion_characterizing,8
perspective_taking,emotion_valuing,25
perspective_taking,emotion_responding,45
perspective_taking,emotion_management,7
perspective_taking,emotion_perception,22
perspective_taking,emotion_characterizing,6
emotion_valuing,cognition_awareness,20
emotion_valuing,convergent_thinking,53
emotion_valuing,emotion_perception,25
emotion_valuing,perspective_taking,26
evaluating,convergent_thinking,224
emotion_responding,understanding,124
emotion_responding,cognition_awareness,81
emotion_responding,emotion_perception,39
emotion_responding,perspective_taking,57
emotion_responding,analyzing,62
emotion_management,convergent_thinking,21
emotion_management,emotion_perception,6
emotion_management,emotion_understanding,23
emotion_management,perspective_taking,9
emotion_management,analyzing,9
emotion_perception,understanding,57
emotion_perception,cognition_awareness,40
emotion_perception,perspective_taking,21
emotion_perception,analyzing,33
emotion_characterizing,understanding,22
emotion_characterizing,questioning,26
emotion_characterizing,cognition_awareness,15
emotion_characterizing,convergent_thinking,17
emotion_characterizing,emotion_perception,11
emotion_characterizing,emotion_understanding,33
emotion_characterizing,perspective_taking,11
emotion_characterizing,analyzing,17
understanding,hypothesis_generation,111
cognition_awareness,hypothesis_generation,75
cognition_awareness,understanding,91
convergent_thinking,understanding,195
convergent_thinking,counterfactual_reasoning,139
emotion_perception,hypothesis_generation,63
emotion_understanding,understanding,191
emotion_understanding,counterfactual_reasoning,125
perspective_taking,hypothesis_generation,72
perspective_taking,understanding,83
perspective_taking,counterfactual_reasoning,45
hypothesis_generation,metacognitive_monitoring,29
counterfactual_reasoning,metacognitive_monitoring,40
evaluating,remembering,80
analyzing,analyzing,103
metacognitive_monitoring,analyzing,25
metacognitive_monitoring,pattern_recognition,25
pattern_recognition,counterfactual_reasoning,61
questioning,emotion_understanding,189
remembering,hypothesis_generation,58
emotion_understanding,reconsidering,89
counterfactual_reasoning,convergent_thinking,141
counterfactual_reasoning,counterfactual_reasoning,125
counterfactual_reasoning,metacognitive_regulation,10
distinguishing,emotion_valuing,42
distinguishing,metacognitive_regulation,3
reconsidering,metacognitive_regulation,7
questioning,remembering,114
emotion_valuing,hypothesis_generation,50
emotion_valuing,remembering,19
emotion_valuing,situation_selection,12
convergent_thinking,emotion_responding,109
convergent_thinking,situation_selection,28
convergent_thinking,self_questioning,362
evaluating,emotion_responding,147
evaluating,situation_selection,53
metacognitive_regulation,emotion_responding,7
metacognitive_regulation,evaluating,18
metacognitive_regulation,situation_selection,4
emotion_responding,evaluating,142
emotion_responding,emotion_valuing,39
remembering,emotion_valuing,12
situation_selection,evaluating,43
situation_selection,emotion_valuing,10
situation_selection,emotion_perception,14
evaluating,emotion_facilitation,15
noticing,emotion_facilitation,41
metacognitive_monitoring,perspective_taking,7
metacognitive_monitoring,emotion_facilitation,5
questioning,emotion_valuing,67
questioning,perspective_taking,62
perspective_taking,perspective_taking,42
emotion_facilitation,emotion_valuing,4
emotion_facilitation,perspective_taking,3
emotion_facilitation,understanding,12
emotion_facilitation,counterfactual_reasoning,12
emotion_facilitation,hypothesis_generation,13
emotion_facilitation,reframing,23
perspective_taking,cognition_awareness,32
understanding,cognition_awareness,94
counterfactual_reasoning,understanding,122
hypothesis_generation,cognition_awareness,71
hypothesis_generation,pattern_recognition,72
cognition_awareness,abstracting,62
pattern_recognition,divergent_thinking,80
understanding,divergent_thinking,143
divergent_thinking,situation_selection,31
abstracting,convergent_thinking,102
abstracting,hypothesis_generation,98
abstracting,situation_selection,25
convergent_thinking,divergent_thinking,139
situation_selection,counterfactual_reasoning,32
situation_selection,divergent_thinking,43
divergent_thinking,divergent_thinking,156
response_modulation,concretizing,38
divergent_thinking,metacognitive_monitoring,38
divergent_thinking,concretizing,18
evaluating,concretizing,20
situation_selection,concretizing,8
situation_selection,convergent_thinking,36
metacognitive_monitoring,response_modulation,97
concretizing,reframing,30
concretizing,analogical_thinking,28
convergent_thinking,analogical_thinking,178
response_modulation,perspective_taking,119
reframing,emotion_understanding,360
analogical_thinking,emotion_perception,82
analogical_thinking,emotion_understanding,228
analogical_thinking,perspective_taking,112
emotion_valuing,divergent_thinking,31
perspective_taking,response_modulation,108
perspective_taking,divergent_thinking,54
emotion_understanding,emotional_reappraisal,58
emotional_reappraisal,noticing,184
emotional_reappraisal,response_modulation,113
metacognitive_monitoring,understanding,36
distinguishing,perspective_taking,45
understanding,perspective_taking,79
noticing,emotion_valuing,146
cognition_awareness,emotion_valuing,28
cognition_awareness,emotion_perception,40
questioning,concretizing,19
perspective_taking,concretizing,11
perspective_taking,analogical_thinking,108
concretizing,noticing,53
concretizing,divergent_thinking,18
concretizing,metacognitive_regulation,2
analogical_thinking,pattern_recognition,105
analogical_thinking,metacognitive_regulation,10
reconsidering,divergent_thinking,89
questioning,zooming_in,31
pattern_recognition,zooming_in,22
noticing,zooming_in,114
divergent_thinking,zooming_in,25
divergent_thinking,emotion_understanding,144
response_modulation,zooming_in,55
metacognitive_regulation,zooming_in,2
metacognitive_regulation,emotion_understanding,14
zooming_in,self_questioning,67
zooming_in,metacognitive_monitoring,8
zooming_in,noticing,116
zooming_in,reframing,48
distinguishing,understanding,128
emotional_reappraisal,evaluating,62
emotional_reappraisal,understanding,46
emotional_reappraisal,remembering,30
emotional_reappraisal,emotion_understanding,66
cognition_awareness,emotion_understanding,76
emotion_responding,remembering,52
emotion_understanding,remembering,73
understanding,emotion_understanding,207
noticing,updating_beliefs,28
reframing,updating_beliefs,19
updating_beliefs,evaluating,13
updating_beliefs,noticing,27
updating_beliefs,distinguishing,9
distinguishing,cognition_awareness,57
understanding,emotion_responding,118
understanding,situation_selection,32
situation_selection,creating,3
situation_selection,situation_selection,16
hypothesis_generation,emotion_responding,95
hypothesis_generation,creating,9
cognition_awareness,creating,11
creating,distinguishing,14
creating,noticing,33
creating,response_modulation,21
creating,emotion_understanding,15
creating,reconsidering,5
situation_selection,distinguishing,32
distinguishing,abstracting,105
distinguishing,analogical_thinking,175
analyzing,analogical_thinking,130
emotion_responding,zooming_in,19
zooming_in,zooming_in,7
zooming_in,pattern_recognition,24
remembering,zooming_in,16
zooming_in,questioning,35
zooming_in,emotion_valuing,9
zooming_in,reconsidering,17
analogical_thinking,remembering,80
response_modulation,counterfactual_reasoning,269
evaluating,suspending_judgment,9
noticing,suspending_judgment,13
hypothesis_generation,suspending_judgment,5
hypothesis_generation,emotion_receiving,21
response_modulation,suspending_judgment,7
response_modulation,emotion_receiving,47
suspending_judgment,cognition_awareness,2
suspending_judgment,noticing,13
suspending_judgment,attentional_deployment,1
suspending_judgment,self_questioning,8
questioning,attentional_deployment,21
emotion_receiving,cognition_awareness,17
emotion_receiving,attentional_deployment,5
noticing,attentional_deployment,96
understanding,attentional_deployment,28
cognition_awareness,distinguishing,58
attentional_deployment,abstracting,24
attentional_deployment,analogical_thinking,41
attentional_deployment,distinguishing,22
attentional_deployment,noticing,92
attentional_deployment,response_modulation,58
attentional_deployment,self_questioning,61
attentional_deployment,emotion_understanding,28
attentional_deployment,metacognitive_monitoring,7
emotion_responding,hypothesis_generation,91
emotion_responding,analogical_thinking,151
zooming_in,analogical_thinking,35
emotional_reappraisal,distinguishing,36
emotional_reappraisal,abstracting,38
emotional_reappraisal,divergent_thinking,37
emotional_reappraisal,pattern_recognition,31
emotional_reappraisal,analyzing,42
distinguishing,analyzing,87
divergent_thinking,abstracting,110
counterfactual_reasoning,emotion_understanding,125
abstracting,divergent_thinking,103
understanding,analogical_thinking,211
evaluating,zooming_out,38
hypothesis_generation,zooming_out,29
reframing,zooming_out,64
self_questioning,zooming_out,72
zooming_out,understanding,47
zooming_out,hypothesis_generation,25
zooming_out,convergent_thinking,35
zooming_out,questioning,40
perspective_taking,questioning,73
hypothesis_generation,remembering,57
remembering,remembering,58
response_modulation,attentional_deployment,44
analyzing,perspective_taking,36
cognition_awareness,perspective_taking,32
emotion_understanding,perspective_taking,70
attentional_deployment,perspective_taking,10
attentional_deployment,remembering,17
attentional_deployment,emotion_responding,18
